Wavelengths,Intensities,Normalized
521.50337196581,2536.7625150060403,2536.7625150060403
521.7336993785251,2536.6340666266888,2536.6340666266888
521.9640104301716,2536.599219687914,2536.599219687914
522.1943051197435,2536.477884153698,2536.477884153698
522.4245834462349,2536.4073559424146,2536.4073559424146
522.6548454086401,2536.38313325334,2536.38313325334
522.885091005953,2536.3865396158826,2536.3865396158826
523.1153202371681,2536.3719297719463,2536.3719297719463
523.3455331012793,2536.3409243697843,2536.3409243697843
523.5757295972811,2536.2951140456553,2536.2951140456553
523.8059097241671,2536.207530012043,2536.207530012043
524.0360734809319,2536.211026410602,2536.211026410602
524.2662208665695,2536.1398379352117,2536.1398379352117
524.4963518800743,2536.044261704721,2536.044261704721
524.7264665204399,2536.0984153661857,2536.0984153661857
524.956564786661,2536.03076830736,2536.03076830736
525.1866466777316,2536.053031212522,2536.053031212522
525.4167121926458,2536.042262905201,2536.042262905201
525.6467613303977,2536.115702280949,2536.115702280949
525.8767940899817,2536.0934693877925,2536.0934693877925
526.1068104703917,2536.0560114045998,2536.0560114045998
526.3368104706219,2536.033448379389,2536.033448379389
526.5667940896666,2535.9388115246475,2535.9388115246475
526.7967613265199,2535.922220888393,2535.922220888393
527.0267121801759,2535.8051170468566,2535.8051170468566
527.2566466496289,2535.8404141657034,2535.8404141657034
527.4865647338728,2535.7993457383327,2535.7993457383327
527.7164664319021,2535.775063025248,2535.775063025248
527.9463517427107,2535.7376260504598,2535.7376260504598
528.1762206652927,2535.7599189676266,2535.7599189676266
528.4060731986426,2535.5936194478154,2535.5936194478154
528.6359093417542,2535.614642857181,2535.614642857181
528.8657290936219,2535.491308523449,2535.491308523449
529.0955324532397,2535.480972388995,2535.480972388995
529.3253194196019,2535.4733373349727,2535.4733373349727
529.5550899917024,2535.496992797157,2535.496992797157
529.7848441685359,2535.5062635054405,2535.5062635054405
530.0145819490959,2535.4171518607814,2535.4171518607814
530.244303332377,2535.4112184874316,2535.4112184874316
530.4740083173732,2535.30981392561,2535.30981392561
530.7036969030786,2535.2659093637826,2535.2659093637826
530.9333690884876,2535.303442376988,2535.303442376988
531.163024872594,2535.229528811562,2535.229528811562
531.3926642543922,2535.1558463385736,2535.1558463385736
531.6222872328765,2535.126479591875,2535.126479591875
531.8518938070407,2535.138277310962,2535.138277310962
532.0814839758792,2535.2166776711065,2535.2166776711065
532.3110577383862,2535.2130612245273,2535.2130612245273
532.5406150935555,2535.207605042054,2535.207605042054
532.7701560403817,2535.173100240134,2535.173100240134
532.9996805778587,2535.15657262909,2535.15657262909
533.2291887049807,2535.117217887194,2535.117217887194
533.458680420742,2535.064468787554,2535.064468787554
533.6881557241367,2535.0249939976366,2535.0249939976366
533.9176146141587,2535.017229891994,2535.017229891994
534.1470570898025,2535.0942046819096,2535.0942046819096
534.376483150062,2534.9742647059197,2534.9742647059197
534.6058927939316,2535.008967587072,2535.008967587072
534.8352860204053,2535.0403901561003,2535.0403901561003
535.0646628284774,2535.3197358943958,2535.3197358943958
535.2940232171417,2535.4995888355725,2535.4995888355725
535.5233671853928,2535.636977791153,2535.636977791153
535.7526947322245,2535.8121098439747,2535.8121098439747
535.9820058566315,2536.0189225690647,2536.0189225690647
536.2113005576073,2536.107265906399,2536.107265906399
536.4405788341465,2536.2585804322107,2536.2585804322107
536.669840685243,2536.5080372149246,2536.5080372149246
536.8990861098912,2536.76863745502,2536.76863745502
537.1283151070849,2536.8588205282495,2536.8588205282495
537.3575276758187,2536.91126050424,2536.91126050424
537.5867238150865,2537.0705762305297,2537.0705762305297
537.8159035238824,2537.2751470588605,2537.2751470588605
538.0450668012008,2537.46794417771,2537.46794417771
538.2742136460357,2537.544612845175,2537.544612845175
538.5033440573814,2537.6633253301707,2537.6633253301707
538.7324580342316,2537.9981092437365,2537.9981092437365
538.9615555755811,2538.1401080432547,2538.1401080432547
539.1906366804236,2538.2026200480564,2538.2026200480564
539.4197013477535,2538.4226740696668,2538.4226740696668
539.6487495765649,2538.48132352945,2538.48132352945
539.877781365852,2538.507512004839,2538.507512004839
540.1067967146087,2538.5355312125225,2538.5355312125225
540.3357956218296,2538.6424669868334,2538.6424669868334
540.5647780865082,2538.8079621849115,2538.8079621849115
540.7937441076394,2538.975747298957,2538.975747298957
541.022693684217,2539.0002340936753,2539.0002340936753
541.2516268152351,2538.9915696278895,2538.9915696278895
541.4805434996879,2539.1769597839525,2539.1769597839525
541.7094437365698,2539.240459183711,2539.240459183711
541.9383275248747,2539.5490696278894,2539.5490696278894
542.1671948635968,2539.6181992797488,2539.6181992797488
542.3960457517302,2539.725561224527,2539.725561224527
542.6248801882692,2539.7953601440945,2539.7953601440945
542.853698172208,2539.9274189676244,2539.9274189676244
543.0824997025405,2539.84182472993,2539.84182472993
543.3112847782612,2539.933169267746,2539.933169267746
543.5400533983639,2540.0858943577823,2540.0858943577823
543.7688055618431,2540.0621998799897,2540.0621998799897
543.9975412676927,2540.144969988033,2540.144969988033
544.2262605149069,2540.103058223327,2540.103058223327
544.45496330248,2540.3492316927154,2540.3492316927154
544.6836496294061,2540.3096098439764,2540.3096098439764
544.9123194946792,2540.2190516206847,2540.2190516206847
545.1409728972936,2540.311554621886,2540.311554621886
