port,action,volume,speed,title,wait
3,Pick,200,2000,,
4,Dispense,200,2000,,
3,Pick,200,2000,,
7,Dispense,200,2000,,
3,Pick,200,2000,,
8,Dispense,200,2000,,
3,Pick,200,2000,,
9,Dispense,200,2000,,
3,Pick,200,2000,,
10,Dispense,200,2000,,
3,Pick,200,2000,,
11,Dispense,200,2000,,
3,Pick,200,2000,,
12,Dispense,200,2000,,
